user_id,birth_year,country,user_settings,plan
user_0,1989,Poland,1,Regular
user_1,1975,United Kingdom,0,Regular
user_2,1987,Poland,0,Regular
user_3,1994,France,0,Regular
user_4,1985,United Kingdom,0,Regular
user_5,1993,Lithuania,1,Regular
user_6,1978,United Kingdom,0,Regular
user_7,1989,Romania,0,Regular
user_8,1981,United Kingdom,1,Regular
user_9,1965,Poland,1,Premium
user_10,1980,France,0,Regular
user_11,1984,United Kingdom,0,Regular
user_12,1991,United Kingdom,0,Regular
user_13,1995,Lithuania,0,Regular
user_15,1994,United Kingdom,0,Regular
user_16,1982,United Kingdom,1,Regular
user_17,1996,United Kingdom,1,Regular
user_18,1956,United Kingdom,0,Regular
user_19,1986,Malta,0,Regular
user_20,1992,United Kingdom,1,Regular
user_21,1993,United Kingdom,0,Regular
user_22,1986,United Kingdom,0,Regular
user_23,1974,United Kingdom,0,Regular
user_25,1979,United Kingdom,0,Regular
user_26,1994,Portugal,0,Regular
user_27,1995,France,1,Regular
user_28,1966,France,0,Regular
user_29,1990,United Kingdom,0,Regular
user_30,1986,United Kingdom,1,Premium
user_31,1997,United Kingdom,0,Regular
user_34,1992,Lithuania,0,Regular
user_35,1981,Lithuania,0,Regular
user_36,1979,United Kingdom,0,Regular
user_37,1991,United Kingdom,0,Regular
user_38,1993,United Kingdom,0,Regular
user_39,1985,Romania,1,Regular
user_40,1982,United Kingdom,1,Regular
user_41,1980,Lithuania,0,Regular
user_42,1998,United Kingdom,0,Regular
user_44,1989,Estonia,0,Regular
user_45,1995,United Kingdom,0,Regular
user_46,1983,France,0,Regular
user_47,1970,United Kingdom,0,Regular
user_48,1989,France,0,Regular
user_49,1966,Lithuania,0,Regular
user_50,1988,Estonia,1,Regular
user_52,1969,France,0,Regular
user_53,1981,Estonia,0,Regular
user_54,1981,United Kingdom,0,Regular
user_55,1969,United Kingdom,1,Regular
user_56,1983,Malta,0,Regular
user_58,1984,Romania,0,Regular
user_59,1976,France,1,Regular
user_60,1971,Lithuania,0,Regular
user_61,1984,Lithuania,1,Regular
user_62,1985,Estonia,0,Premium
user_63,1984,United Kingdom,0,Regular
user_64,1991,Denmark,0,Premium
user_66,1987,Lithuania,0,Regular
user_67,1992,Lithuania,0,Regular
user_68,1987,Romania,1,Regular
user_69,1966,United Kingdom,0,Regular
user_70,1982,France,0,Regular
user_71,1995,United Kingdom,1,Regular
user_72,1995,United Kingdom,0,Regular
user_73,1973,United Kingdom,0,Regular
user_74,1992,United Kingdom,0,Regular
user_75,1988,United Kingdom,0,Regular
user_76,1981,Estonia,1,Regular
user_77,1991,Poland,0,Regular
user_78,1985,United Kingdom,1,Premium
user_79,1983,United Kingdom,1,Regular
user_80,1988,United Kingdom,0,Regular
user_81,1980,United Kingdom,1,Regular
user_82,1996,United Kingdom,0,Regular
user_83,1960,United Kingdom,0,Regular
user_84,1970,United Kingdom,1,Regular
user_85,1998,Poland,0,Regular
user_86,1969,Estonia,0,Regular
user_87,1988,United Kingdom,0,Regular
user_88,1994,France,1,Special
user_89,1979,France,0,Premium
user_91,1998,Malta,1,Regular
user_92,1986,United Kingdom,0,Regular
user_93,1988,United Kingdom,0,Regular
user_94,1994,United Kingdom,0,Regular
user_95,1951,United Kingdom,0,Regular
user_97,1975,Portugal,0,Regular
user_98,1971,United Kingdom,0,Regular
user_99,1989,United Kingdom,0,Regular
user_100,1969,United Kingdom,0,Regular
user_102,1947,Lithuania,0,Regular
user_103,1989,United Kingdom,1,Regular
user_104,1993,Poland,0,Regular
user_105,1983,United Kingdom,0,Regular
user_108,1975,Poland,0,Regular
user_109,1990,Romania,0,Regular
user_110,1993,Denmark,0,Regular
user_111,1977,Ireland,0,Special
user_113,1980,Lithuania,1,Regular
user_114,1983,Estonia,0,Regular
user_115,1992,France,0,Regular
user_117,1990,Estonia,0,Regular
user_118,1999,United Kingdom,0,Regular
user_119,1984,Malta,1,Regular
user_120,1988,Lithuania,0,Regular
user_121,1995,United Kingdom,0,Regular
user_122,1987,United Kingdom,0,Regular
user_123,1956,France,0,Regular
user_124,1992,France,0,Regular
user_125,1999,United Kingdom,0,Regular
user_126,1982,Ireland,1,Regular
user_127,1990,United Kingdom,0,Regular
user_128,1995,United Kingdom,0,Regular
user_129,1969,United Kingdom,0,Regular
user_130,1980,United Kingdom,1,Regular
user_131,1983,United Kingdom,0,Regular
user_132,1979,United Kingdom,1,Regular
user_133,1985,United Kingdom,1,Regular
user_134,1987,United Kingdom,0,Regular
user_135,1987,United Kingdom,1,Regular
user_136,1966,United Kingdom,1,Premium
user_137,1983,Lithuania,1,Regular
user_138,1966,France,0,Regular
user_139,1982,United Kingdom,0,Regular
user_145,1980,France,0,Regular
user_146,1983,Romania,0,Special
user_147,1989,Denmark,0,Regular
user_148,1983,Romania,1,Regular
user_149,1999,Denmark,1,Regular
user_150,1974,United Kingdom,1,Premium
user_151,1965,Lithuania,0,Regular
user_153,1995,United Kingdom,0,Regular
user_154,1971,United Kingdom,0,Regular
user_155,1985,United Kingdom,0,Regular
user_156,1991,Ireland,1,Regular
user_158,1978,Lithuania,1,Regular
user_159,1992,United Kingdom,1,Regular
user_160,1991,United Kingdom,0,Regular
user_161,1982,United Kingdom,1,Regular
user_162,1981,United Kingdom,1,Special
user_163,1991,Poland,0,Premium
user_165,1980,United Kingdom,0,Regular
user_170,1952,Ireland,0,Regular
user_171,1982,United Kingdom,0,Regular
user_172,1995,France,1,Regular
user_174,1984,Romania,1,Regular
user_175,1982,United Kingdom,0,Regular
user_176,1941,United Kingdom,0,Regular
user_178,1978,United Kingdom,1,Regular
user_179,1987,France,0,Regular
user_180,1990,United Kingdom,1,Regular
user_181,1963,United Kingdom,1,Regular
user_182,1981,United Kingdom,0,Regular
user_183,1990,United Kingdom,0,Regular
user_184,1997,France,0,Regular
user_185,1992,United Kingdom,1,Special
user_186,1993,Portugal,0,Regular
user_187,1998,United Kingdom,0,Regular
user_188,1985,United Kingdom,0,Regular
user_189,1991,Romania,1,Regular
user_190,1973,United Kingdom,1,Regular
user_191,1994,Denmark,0,Regular
user_193,1982,Denmark,0,Regular
user_194,1986,France,0,Regular
user_195,1987,Poland,1,Regular
user_196,1985,Poland,1,Regular
user_197,1985,United Kingdom,0,Regular
user_199,1997,Poland,0,Regular
user_200,1995,United Kingdom,0,Regular
user_203,1995,United Kingdom,1,Regular
user_204,1981,United Kingdom,0,Regular
